Date,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus
11/18/2021,Hardy County,WV,24.7,3400,28.5,30,40.5,60.3,33.8,4649
11/18/2021,Denali Borough,AK,47.4,995,54.5,55.1,76.5,96.7,57.4,1173
11/18/2021,Chester County,PA,62.5,328361,72.9,73.8,90.7,94.5,99.9,549439
11/18/2021,Madison County,FL,39.7,7340,45.1,46.3,74.1,98.7,48.5,8971
11/18/2021,Jim Hogg County,TX,50.2,2613,62.4,64.3,73.6,99.1,63.4,3291
11/18/2021,Trego County,KS,37.5,1051,42.4,43.8,50.4,93.6,39.5,1106
11/18/2021,Caldwell County,MO,36.1,3255,42.2,44.8,67.1,91.2,40.1,3594
11/18/2021,Fulton County,NY,49.6,26471,57,59,74.6,97.6,53.2,28304
11/18/2021,Sumter County,SC,45.4,48501,54.1,56.5,78.5,93.9,55.8,59220
11/18/2021,Baltimore city,MD,57.2,339239,66.5,67.9,77.8,98.7,63.9,378252
11/18/2021,Roger Mills County,OK,33.4,1197,39.3,42.5,58.8,93.9,37,1322
11/18/2021,Saline County,AR,44.7,54700,52.4,53.5,60.7,90.3,51.9,62947
11/18/2021,Kenton County,KY,54.3,90650,64.4,66.8,89.1,93.9,61.4,101244
11/18/2021,Mingo County,WV,24.8,5815,29.2,30.9,45.9,60.3,34.1,7962
11/18/2021,Jackson County,GA,25.4,18557,30.4,31.9,52.3,58.3,27.3,19782
11/18/2021,Brooke County,WV,22.1,4846,24.8,25.6,34.5,60.3,31.9,6980
11/18/2021,Boyd County,NE,32.3,620,36.9,38.7,48.6,89.8,0,
11/18/2021,Kanawha County,WV,32.1,57190,36.9,38,50.3,60.3,47.8,84405
11/18/2021,Esmeralda County,NV,38.3,334,42.2,42.8,41,94.9,47.5,415
11/18/2021,Thayer County,NE,43.5,2178,51.3,54.5,76.2,89.8,0,
11/18/2021,Payne County,OK,44.1,36095,50.4,51.2,81.3,93.9,52.6,42750
11/18/2021,Gladwin County,MI,45.1,11477,51.4,53.9,76.2,97.7,47.9,12181
11/18/2021,Unknown County,VI,0,7093,0,0,0,85.9,0,8005
11/18/2021,Overton County,TN,33.1,7372,38.3,40.9,65.7,97.9,36.7,8161
11/18/2021,Oswego County,NY,54.5,63834,63,64.6,84.3,97.6,58,67292
11/18/2021,Love County,OK,38.8,3974,46.1,49.1,69.1,93.9,46.7,4782
11/18/2021,Nueces County,TX,51.7,187180,61.5,63.1,76.3,99.1,59.7,216076
11/18/2021,Sarasota County,FL,65.2,282620,71.5,73.2,88,98.7,76.5,330285
11/18/2021,Brown County,TX,37.1,14030,42.7,45.7,66.3,99.1,41.9,15864
11/18/2021,Zavala County,TX,47.2,5593,58.1,59.5,79.2,99.1,54.7,6416
11/18/2021,Lycoming County,PA,49.9,56589,57.6,60.3,90.5,94.5,60,67685
11/18/2021,Ringgold County,IA,48.1,2353,55.9,59.5,83.8,97.4,51.6,2495
11/18/2021,East Feliciana Parish,LA,37.1,7102,42,43.3,67.1,96.7,40.9,7812
11/18/2021,West Carroll Parish,LA,37.9,4108,44.1,47.6,81.1,96.7,42.3,4578
11/18/2021,Dewey County,SD,59.1,3480,81.4,84.3,99.9,96.3,70.6,4087
11/18/2021,Hill County,TX,37.6,13788,44.2,47.6,68.5,99.1,43.7,16002
11/18/2021,Livingston County,MI,56.5,108389,64.8,67,87.2,97.7,58.8,112835
11/18/2021,Wise County,VA,42.6,15916,48.5,50.3,71.7,82.2,53,19680
11/18/2021,Vermilion Parish,LA,34.7,20660,41.5,44.2,64.3,96.7,39.4,23406
11/18/2021,Coffey County,KS,48.9,3997,57,60,79.4,93.6,54.1,4400
11/18/2021,Wayne County,IA,38.8,2499,46.4,50.1,75,97.4,41.4,2665
11/18/2021,Scott County,IN,41,9788,48,50.5,77.5,98.7,44.6,10601
11/18/2021,Union County,FL,33.3,5078,38.3,40,66.2,98.7,48.8,7430
11/18/2021,Madison County,KY,43.3,40286,50.2,51.5,72.8,93.9,49,45018
11/18/2021,Phelps County,MO,40,17829,46.4,47.8,68.4,91.2,45,19965
11/18/2021,Fairfield County,CT,73.2,690913,85.1,85.9,92.1,98.3,86.2,799717
11/18/2021,Henderson County,TN,38.6,10847,45.2,48.2,74.4,97.9,43.4,12182
11/18/2021,Miami County,IN,38.7,13747,44.7,47.6,70.7,98.7,42.3,15000
11/18/2021,Cleveland County,OK,48.5,137768,56.1,56.9,75.8,93.9,58.9,164759
11/18/2021,Tate County,MS,40.5,11468,47.3,49.4,73.3,98.3,46,12980
11/18/2021,San Miguel County,NM,61.4,16738,69,69.3,78.4,97.2,69.3,18655
11/18/2021,Malheur County,OR,42.8,13073,51.8,54.4,81.8,97.8,48.2,14675
11/18/2021,Pittsburg County,OK,41.1,17932,48.2,50.4,66.5,93.9,49.1,21316
11/18/2021,Ben Hill County,GA,14.4,2404,17.1,16.9,16,58.3,16,2666
11/18/2021,Lake County,IL,68.2,474969,79.8,80.7,87.6,97.8,75.8,525090
11/18/2021,Jackson County,TX,40.7,6010,48.9,51.8,75.9,99.1,46,6768
11/18/2021,Beadle County,SD,44,8127,54.2,57.5,79.1,96.3,55,10137
11/18/2021,Wright County,MO,33.6,6146,40.3,43.6,68.5,91.2,38.4,7013
11/18/2021,Weston County,WY,32.9,2280,38,40.5,67.5,96.4,36.7,2538
11/18/2021,McPherson County,KS,51.4,14669,60.1,63,86.1,93.6,56.8,16042
11/18/2021,Highland County,VA,55.8,1222,61.5,63,74.9,82.2,61.1,1327
11/18/2021,Letcher County,KY,49.4,10650,57.7,59.8,73.7,93.9,54,11585
11/18/2021,St. John Island,VI,0,2850,0,0,0,85.9,0,3064
11/18/2021,Grand County,CO,57.9,9105,64.4,66.4,72.5,97.3,66.6,10281
11/18/2021,Holmes County,OH,16.8,7399,21,23.5,49.8,98.6,17.8,7788
